Gene.symbol	Endothelial cells	Dental Pulp Cells	Glial cells	Lymphocytes	Perivascular Cells	Macrophages	Pre-odontoblasts	"Stratum Intermedium" and "Stellate Reticulum"	early-stage pulp cell	Vascular Smooth Muscle Cells	Outer Enamel Epithelium	Osteoblasts	Ameloblasts	innate immune cells
Podxl	3.2	0.1	0.05	0.04	0.08	0.07	0.02	0.1	0.13	0.17	0.14	0.09	0.06	0.07
Ctla2a	2.92	0.04	0	0.44	0.06	0.08	0.02	0.03	0.02	0.05	0.05	0.04	0.02	0.09
Ptprb	3.22	0.22	0.06	0.05	0.12	0.08	0.04	0.15	0.08	0.03	0.13	0.08	0.03	0.08
Krt5	0.37	0.26	0.14	0.24	0.26	0.25	0.21	3.32	0.18	0.16	3.44	0.48	4.03	0.13
Krt14	0.26	0.17	0.08	0.18	0.1	0.17	0.07	3.16	0.1	0.19	3.2	0.28	4.23	0.17
Slc39a8	0.77	0.42	0.08	0.18	0.1	0.27	0.47	2.49	0.39	0.48	2.25	0.21	3.98	0.03
Perp	0.14	1.11	0.12	0.25	0.31	0.23	0.86	3.33	0.11	0.46	3.17	0.23	3.92	0.13
Spint2	0.26	0.17	0.02	0.84	0.34	0.05	0.19	3.03	0.28	1.3	2.61	0.04	3.53	0.77
Cldn1	0.08	0.09	0.04	0.22	0.24	0.04	0.06	1.43	0.73	1.94	1.29	0.12	4.21	0.48
Fxyd3	0.02	0.09	0.44	0.01	0.01	0.01	0	1.9	0.01	0	1.78	0.04	2.54	0
Col17a1	0.07	0.14	0.03	0.09	0	0.03	0.03	2.27	0.11	0.06	2.4	0.03	3.33	0
Trp63	0.09	0.17	0.05	0.05	0.03	0.09	0.17	2.42	0.05	0.03	2.54	0.02	2.65	0.04
Isl1	0.06	0.05	0.01	0.04	0.01	0.04	0.03	2.27	0.01	0	2.41	0.02	1.43	0.03
Cdh1	0.04	0.1	0.06	0.17	0.01	0.03	0.11	2.15	0.25	0.17	2.49	0.05	1.92	0.08
Pitx2	0.06	0.06	0.04	0.07	0.07	0.04	0.02	2.45	0.04	0.04	2.88	0.1	2.9	0.02
Dsc3	0.06	0.16	0.05	0.01	0.04	0.02	0.03	2.02	0.03	0	2.75	0.02	2.79	0.07
Dsp	0.14	0.23	0.06	0.06	0.09	0.07	0.07	2.67	0.05	0.03	3.08	0.2	3.28	0.06
Sorl1	0.08	0.74	0.12	1.42	0.1	0.75	0.45	1.72	0.55	0.6	0.79	0.25	2.13	2.96
Lgals3	0.14	0.1	1.17	2.41	0.21	0.9	0.29	1.02	0.11	0.13	0.81	0.33	3.58	3
Gsr	1.06	1.4	0.56	1.68	0.78	0.82	1.5	1.51	1.53	1.17	1.34	1.04	2.42	3.57
Mxd1	0.32	0.56	0.23	0.59	0.57	0.75	0.37	0.56	0.41	0.34	0.28	0.61	1.24	3.34
Pygl	0.1	0.7	0.12	1.11	0.42	0.26	0.38	0.2	0.5	0.56	0.16	0.69	0.57	3.37
Dgat1	0.64	0.81	0.4	0.74	0.67	0.45	0.87	1.14	0.99	0.92	1.34	0.41	0.49	2.86
S100a6	1.45	0.59	3	2.15	2.82	0.28	0.92	2.29	1.13	0.89	1.73	1.91	3.76	3.04
Cd44	0.16	0.62	1.36	2.59	0.63	0.83	0.77	2.92	1.11	0.65	3.16	1.81	3.64	3.31
Ctsc	0.53	0.33	0.64	2.55	2.33	3.79	0.3	0.25	1.09	0.82	0.76	1.71	1.48	0.36
Fam105a	0.13	0.23	0.05	2.32	0.4	3.13	0.54	0.43	2.1	0.71	0.44	1.28	0.16	0.26
Ctsh	0.75	0.42	0.19	2.38	0.8	3.43	0.32	0.38	0.3	0.67	0.28	0.21	0.32	1.42
Unc93b1	1.18	0.99	0.77	2.59	1.02	3.44	0.83	0.12	0.69	0.56	0.33	0.58	0.36	1.83
Ctss	0.64	0.55	0.09	2.93	0.57	4.25	0.5	0.18	0.39	0.39	0.38	0.64	0.61	0.69
Csf1r	0.68	0.66	0.12	2.05	0.74	3.99	0.53	0.19	0.53	0.42	0.43	0.69	1.08	0.8
H2-Eb1	0.88	0.57	0.08	2.09	0.49	3.84	0.44	0.21	0.39	0.4	0.57	0.67	0.79	0.42
H2-Ab1	1.32	0.73	0.1	2.29	0.64	4.15	0.58	0.28	0.47	0.43	0.54	0.75	0.85	0.63
H2-Aa	1.07	0.74	0.09	2.19	0.67	4.3	0.56	0.25	0.48	0.49	0.52	0.76	0.9	0.61
Cd74	1.3	1.06	0.2	2.88	0.92	4.65	0.81	0.37	0.69	0.8	0.94	1.23	1.05	1.12
Trf	1.31	2.08	0.57	2.02	1.38	3.78	1.12	0.26	0.89	1.63	0.35	0.97	0.77	1.24
Lgmn	1.54	2.13	1.57	1.49	1.91	3.81	1.21	0.99	0.82	1.14	1.05	0.92	0.93	0.3
Apoe	2.21	1.83	3.32	1.79	1.38	4.92	1.93	1.85	1.69	2.6	2.1	1.64	1.45	1.27
